town_id,raw_id,sta,lat,lon
50,Y24,新木場駅,35.646157,139.827426
51,G02,表参道駅,35.665246,139.712317
52,G03,外苑前駅,35.670532,139.717855
53,G04,青山一丁目駅,35.672768,139.724164
54,G05,赤坂見附駅,35.677021,139.737052
55,G06,溜池山王駅,35.673631,139.741419
56,G07,虎ノ門駅,35.670227,139.749833
57,G08,新橋駅,35.66661,139.758121
58,G09,銀座駅,35.671981,139.763971
59,G10,京橋駅,35.676843,139.77011
60,G11,日本橋駅,35.682418,139.773924
61,G12,三越前駅,35.684891,139.773163
62,G14,末広町駅,35.702973,139.771717
63,G15,上野広小路駅,35.707678,139.772881
64,G17,稲荷町駅,35.711295,139.782599
65,G18,田原町駅,35.709901,139.790932
66,G19,浅草駅,35.712068,139.798432
67,H01,中目黒駅,35.644315,139.69916
68,H03,広尾駅,35.652277,139.722203
69,H04,六本木駅,35.66284,139.731446
70,H05,神谷町駅,35.662978,139.745077
71,H06,霞ケ関駅,35.673836,139.750898
72,H07,日比谷駅,35.675115,139.759768
73,H09,東銀座駅,35.669463,139.767259
74,H10,築地駅,35.668116,139.772607
75,H11,八丁堀駅,35.674616,139.777704
76,H12,茅場町駅,35.679756,139.780008
77,H13,人形町駅,35.686313,139.782287
78,H14,小伝馬町駅,35.690738,139.778436
79,H15,秋葉原駅,35.698545,139.773093
80,H16,仲御徒町駅,35.706647,139.776137
81,H18,入谷駅,35.72074,139.784543
82,H19,三ノ輪駅,35.729629,139.79149
83,H20,南千住駅,35.732337,139.798772
84,H21,北千住駅,35.749675,139.804882
85,T01,中野駅,35.706035,139.665654
86,T02,落合駅,35.710975,139.687286
87,T04,早稲田駅,35.705724,139.721316
88,T05,神楽坂駅,35.703794,139.734547
89,T07,九段下駅,35.695591,139.751952
90,T08,竹橋駅,35.690662,139.75682
91,T09,大手町駅,35.684795,139.766082
92,T12,門前仲町駅,35.671851,139.796214
93,T13,木場駅,35.669354,139.807039
94,T14,東陽町駅,35.669626,139.817601
95,T15,南砂町駅,35.668796,139.830653
96,T16,西葛西駅,35.664531,139.859369
97,T17,葛西駅,35.663525,139.872691
98,T18,浦安駅,35.665745,139.892939
99,M01,荻窪駅,35.704631,139.619982
100,M02,南阿佐ケ谷駅,35.699634,139.635761
101,M03,新高円寺駅,35.697817,139.648169
102,M04,東高円寺駅,35.697804,139.657828
103,M05,新中野駅,35.697491,139.669034
104,M06,中野坂上駅,35.697922,139.682909
105,M07,西新宿駅,35.694302,139.692782
106,M09,新宿三丁目駅,35.690618,139.706268
107,M10,新宿御苑前駅,35.688585,139.710694
108,M11,四谷三丁目駅,35.687956,139.720106
109,M12,四ツ谷駅,35.686013,139.730668
110,M14,国会議事堂前駅,35.673938,139.745217
111,M17,東京駅,35.681102,139.767087
112,M19,淡路町駅,35.69543,139.767576
113,M20,御茶ノ水駅,35.699856,139.763786
114,M21,本郷三丁目駅,35.706671,139.759915
115,M22,後楽園駅,35.707338,139.751203
116,M23,茗荷谷駅,35.717302,139.736736
117,M24,新大塚駅,35.725694,139.729968
118,C01,代々木上原,35.669066,139.67968
119,C02,代々木公園駅,35.669188,139.689097
120,C03,明治神宮前駅,35.669075,139.703994
121,C05,乃木坂駅,35.666571,139.726219
122,C06,赤坂駅,35.672134,139.736212
123,C10,二重橋前駅,35.681072,139.761951
124,C12,新御茶ノ水駅,35.698072,139.766012
125,C13,湯島駅,35.708242,139.76992
126,C14,根津駅,35.7174,139.765655
127,C15,千駄木駅,35.725546,139.763241
128,C17,町屋駅,35.742798,139.781046
129,C19,綾瀬駅,35.762213,139.824916
130,C20,北綾瀬駅,35.777057,139.832037
131,Z05,半蔵門駅,35.685701,139.741631
132,Z07,神保町駅,35.695495,139.758118
133,Z10,水天宮前駅,35.68269,139.78538
134,Z11,清澄白河駅,35.682102,139.798855
135,Z12,住吉駅,35.689067,139.815651
136,Z13,錦糸町駅,35.696436,139.813951
137,Z14,押上駅,35.710701,139.81294
138,N02,白金台駅,35.637917,139.726138
139,N03,白金高輪駅,35.642907,139.734104
140,N04,麻布十番駅,35.654681,139.737055
141,N05,六本木一丁目駅,35.665599,139.738997
142,N12,東大前駅,35.717637,139.758024
143,N13,本駒込駅,35.724148,139.753829
144,N15,西ケ原駅,35.746007,139.742328
145,N16,王子駅,35.752475,139.738141
146,N17,王子神谷駅,35.765175,139.735928
147,N18,志茂駅,35.777951,139.7326
148,N19,赤羽岩淵駅,35.783424,139.722101
149,A01,西馬込,35.586859,139.705941
150,A02,馬込駅,35.596435,139.711772
151,A03,中延駅,35.605387,139.71362
152,A04,戸越駅,35.614637,139.716496
153,A06,高輪台駅,35.631676,139.730304
154,A07,泉岳寺駅,35.638696,139.740016
155,A08,三田駅,35.648182,139.748776
156,A09,大門駅,35.656786,139.754661
157,A12,宝町駅,35.675463,139.771765
158,A15,東日本橋駅,35.692123,139.784822
159,A16,浅草橋駅,35.697552,139.785992
160,A17,蔵前駅,35.703237,139.790935
161,A18,浅草駅,35.708941,139.796568
162,A19,本所吾妻橋駅,35.708579,139.804625
163,I05,芝公園駅,35.654075,139.749827
164,I06,御成門駅,35.661221,139.751533
165,I07,内幸町駅,35.669746,139.75561
